Elevation,Area (acres),Volume (acre-feet)
458.0,30.2,32.8
460.0,60.5,126.0
462.0,73.9,262.0
464.0,84.9,421.0
466.0,102.0,607.0
468.0,118.0,826.0
470.0,159.0,1090.0
472.0,258.0,1500.0
474.0,335.0,2100.0
476.0,428.0,2860.0
478.0,538.0,3820.0
480.0,642.0,5000.0
482.0,761.0,6400.0
484.0,885.0,8050.0
486.0,1020.0,9950.0
488.0,1170.0,12100.0
490.0,1300.0,14600.0
492.0,1390.0,17300.0
494.0,1500.0,20200.0
496.0,1650.0,23400.0
498.0,1800.0,26800.0
500.0,1970.0,30600.0
502.0,2160.0,34700.0
504.0,2360.0,39200.0
506.0,2570.0,44200.0
508.0,2750.0,49500.0
510.0,2950.0,55200.0
512.0,3150.0,61300.0
514.0,3340.0,67800.0
516.0,3550.0,74600.0
518.0,3770.0,82000.0
520.0,3980.0,89700.0
522.0,4190.0,97900.0
524.0,4400.0,106000.0
526.0,4620.0,116000.0
528.0,4850.0,125000.0
530.0,5080.0,135000.0
532.0,5320.0,145000.0
534.0,5540.0,156000.0
536.0,5790.0,167000.0
538.0,6040.0,179000.0
540.0,6300.0,192000.0
542.0,6580.0,205000.0
544.0,6930.0,218000.0
546.0,7260.0,232000.0
548.0,7610.0,247000.0
550.0,7960.0,263000.0
552.0,8250.0,279000.0
554.0,8530.0,296000.0
556.0,8830.0,313000.0
558.0,9260.0,331000.0
559.77,9630.0,348000.0
