Elevation,Area(acres),Volume(acre-feet)
4234.8,0.01,0
4234.9,0.01,0.01
4235,0.01,0.01
4235.1,0.02,0.01
4235.2,0.02,0.01
4235.3,0.02,0.01
4235.4,0.02,0.01
4235.5,0.02,0.02
4235.6,0.02,0.02
4235.7,0.03,0.02
4235.8,0.03,0.02
4235.9,0.03,0.03
4236,0.03,0.03
4236.1,0.03,0.03
4236.2,0.03,0.04
4236.3,0.03,0.04
4236.4,0.03,0.04
4236.5,0.04,0.05
4236.6,0.04,0.05
4236.7,0.04,0.05
4236.8,0.04,0.06
4236.9,0.04,0.06
4237,0.04,0.06
4237.1,0.04,0.07
4237.2,0.04,0.07
4237.3,0.04,0.08
4237.4,0.04,0.08
4237.5,0.05,0.09
4237.6,0.05,0.09
4237.7,0.05,0.1
4237.8,0.05,0.1
4237.9,0.05,0.11
4238,0.05,0.11
4238.1,0.13,0.12
4238.2,0.21,0.14
4238.3,0.29,0.16
4238.4,0.37,0.19
4238.5,0.46,0.24
4238.6,0.54,0.29
4238.7,0.62,0.34
4238.8,0.7,0.41
4238.9,0.78,0.48
4239,0.86,0.56
4239.1,0.94,0.66
4239.2,1.02,0.75
4239.3,1.1,0.86
4239.4,1.18,0.97
4239.5,1.26,1.1
4239.6,1.35,1.23
4239.7,1.43,1.37
4239.8,1.51,1.51
4239.9,1.59,1.67
4240,1.67,1.83
4240.1,1.7,2
4240.2,1.74,2.17
4240.3,1.77,2.35
4240.4,1.81,2.53
4240.5,1.84,2.71
4240.6,1.88,2.89
4240.7,1.91,3.08
4240.8,1.95,3.28
4240.9,1.98,3.47
4241,2.02,3.67
4241.1,2.05,3.88
4241.2,2.08,4.08
4241.3,2.12,4.29
4241.4,2.15,4.51
4241.5,2.19,4.72
4241.6,2.22,4.94
4241.7,2.26,5.17
4241.8,2.29,5.39
4241.9,2.33,5.63
4242,2.36,5.86
4242.1,2.41,6.1
4242.2,2.47,6.34
4242.3,2.52,6.59
4242.4,2.58,6.85
4242.5,2.63,7.11
4242.6,2.69,7.37
4242.7,2.74,7.65
4242.8,2.8,7.92
4242.9,2.85,8.2
4243,2.9,8.49
4243.1,2.96,8.79
4243.2,3.01,9.08
4243.3,3.07,9.39
4243.4,3.12,9.7
4243.5,3.18,10.01
4243.6,3.23,10.33
4243.7,3.29,10.66
4243.8,3.34,10.99
4243.9,3.4,11.33
4244,3.45,11.67
4244.1,3.48,12.02
4244.2,3.51,12.37
4244.3,3.54,12.72
4244.4,3.58,13.08
4244.5,3.61,13.43
4244.6,3.64,13.8
4244.7,3.67,14.16
4244.8,3.7,14.53
4244.9,3.73,14.9
4245,3.77,15.28
4245.1,3.8,15.66
4245.2,3.83,16.04
4245.3,3.86,16.42
4245.4,3.89,16.81
4245.5,3.92,17.2
4245.6,3.95,17.59
4245.7,3.99,17.99
4245.8,4.02,18.39
4245.9,4.05,18.79
4246,4.08,19.2
4246.1,4.24,19.62
4246.2,4.4,20.05
4246.3,4.56,20.5
4246.4,4.72,20.96
4246.5,4.88,21.44
4246.6,5.03,21.93
4246.7,5.19,22.45
4246.8,5.35,22.97
4246.9,5.51,23.52
4247,5.67,24.08
4247.1,5.83,24.65
4247.2,5.99,25.24
4247.3,6.15,25.85
4247.4,6.31,26.47
4247.5,6.46,27.11
4247.6,6.62,27.76
4247.7,6.78,28.43
4247.8,6.94,29.12
4247.9,7.1,29.82
4248,7.26,30.54
4248.1,7.71,31.29
4248.2,8.17,32.08
4248.3,8.62,32.92
4248.4,9.08,33.81
4248.5,9.53,34.74
4248.6,9.98,35.71
4248.7,10.44,36.73
4248.8,10.89,37.8
4248.9,11.35,38.91
4249,11.8,40.07
4249.1,12.25,41.27
4249.2,12.71,42.52
4249.3,13.16,43.81
4249.4,13.62,45.15
4249.5,14.07,46.54
4249.6,14.52,47.97
4249.7,14.98,49.44
4249.8,15.43,50.96
4249.9,15.89,52.53
4250,16.34,54.14
4250.1,22.31,56.07
4250.2,28.28,58.6
4250.3,34.25,61.73
4250.4,40.22,65.45
4250.5,46.19,69.77
4250.6,52.16,74.69
4250.7,58.13,80.2
4250.8,64.1,86.31
4250.9,70.07,93.02
4251,76.04,100.33
4251.1,82,108.23
4251.2,87.97,116.73
4251.3,93.94,125.82
4251.4,99.91,135.52
4251.5,105.88,145.81
4251.6,111.85,156.69
4251.7,117.82,168.18
4251.8,123.79,180.26
4251.9,129.76,192.94
4252,135.73,206.21
4252.1,142.81,220.14
4252.2,149.9,234.77
4252.3,156.98,250.12
4252.4,164.07,266.17
4252.5,171.15,282.93
4252.6,178.24,300.4
4252.7,185.32,318.58
4252.8,192.41,337.46
4252.9,199.49,357.06
4253,206.57,377.36
4253.1,213.66,398.37
4253.2,220.74,420.09
4253.3,227.83,442.52
4253.4,234.91,465.66
4253.5,242,489.51
4253.6,249.08,514.06
4253.7,256.17,539.32
4253.8,263.25,565.29
4253.9,270.34,591.97
4254,277.42,619.36
4254.1,285.91,647.53
4254.2,294.4,676.54
4254.3,302.88,706.41
4254.4,311.37,737.12
4254.5,319.86,768.68
4254.6,328.35,801.09
4254.7,336.84,834.35
4254.8,345.32,868.46
4254.9,353.81,903.41
4255,362.3,939.22
4255.1,370.79,975.87
4255.2,379.28,1013.38
4255.3,387.76,1051.73
4255.4,396.25,1090.93
4255.5,404.74,1130.98
4255.6,413.23,1171.88
4255.7,421.72,1213.63
4255.8,430.2,1256.22
4255.9,438.69,1299.67
4256,447.18,1343.96
4256.1,454.15,1389.03
4256.2,461.13,1434.79
4256.3,468.1,1481.25
4256.4,475.07,1528.41
4256.5,482.05,1576.27
4256.6,489.02,1624.82
4256.7,495.99,1674.07
4256.8,502.97,1724.02
4256.9,509.94,1774.66
4257,516.92,1826.01
4257.1,523.89,1878.05
4257.2,530.86,1930.79
4257.3,537.84,1984.22
4257.4,544.81,2038.35
4257.5,551.78,2093.18
4257.6,558.76,2148.71
4257.7,565.73,2204.93
4257.8,572.7,2261.85
4257.9,579.68,2319.47
4258,586.65,2377.79
4258.1,591.47,2436.7
4258.2,596.29,2496.08
4258.3,601.11,2555.95
4258.4,605.93,2616.31
4258.5,610.75,2677.14
4258.6,615.58,2738.46
4258.7,620.4,2800.26
4258.8,625.22,2862.54
4258.9,630.04,2925.3
4259,634.86,2988.54
4259.1,639.68,3052.27
4259.2,644.5,3116.48
4259.3,649.32,3181.17
4259.4,654.14,3246.35
4259.5,658.97,3312
4259.6,663.79,3378.14
