Date,NDWI,MNDWI,DSWE,AWEIsh
1/2/2009,14597.90919,12418.55055,12101.92772,14595.55502
1/9/2009,14635.08495,12461.11813,12432.55622,14618.34323
1/18/2009,14663.18411,13676.67788,11792.74616,14690.16488
1/25/2009,14485.95205,13661.39105,13334.38993,14541.33998
2/3/2009,14703.93,13346.99612,13227.9262,14742.26057
2/19/2009,14892.63094,14251.46545,14174.97937,14931.07642
2/26/2009,14783.56286,13919.8851,13907.90665,14785.51234
3/23/2009,14661.34597,14664.32174,14486.55135,14698.03461
4/15/2009,14359.50427,14532.84831,11539.94824,14469.28898
5/10/2009,14171.05578,14332.69719,13921.39922,14304.55781
5/17/2009,14232.16503,14549.57195,9194.314784,14439.5027
5/26/2009,14367.23373,14617.22885,14304.19281,14532.15157
7/13/2009,14234.09737,14426.43054,14211.66213,14338.55318
7/29/2009,13739.72582,13881.98238,13619.74548,13828.08965
8/5/2009,13348.33746,13595.1662,12643.88705,13504.35059
8/21/2009,12798.06424,12984.65994,12504.77929,12889.56513
8/30/2009,12468.13426,12712.1452,12279.54578,12644.413
9/15/2009,12212.20944,12199.07872,11946.31393,12383.82044
9/22/2009,11777.9597,12643.60124,12439.92974,12490.40253
10/1/2009,11860.65689,12302.72783,11869.81362,12373.63759
10/8/2009,12170.67153,12498.07196,12040.96724,12494.86257
10/17/2009,12327.61018,12166.5148,11787.8684,12485.13448
11/2/2009,12486.73017,11567.84326,10838.36338,12553.43369
11/9/2009,12602.54475,12317.06811,12059.53295,12673.2721
11/18/2009,12614.25281,11680.55361,11205.22693,12648.28105
11/25/2009,12625.49272,11679.11571,11580.89171,12645.18233
12/4/2009,12606.36563,10581.32457,10084.741,12679.46784
1/12/2010,13536.38097,11911.77949,11908.34976,13531.55665
2/13/2010,13931.49021,13888.44602,13875.26016,13952.59605
3/17/2010,13989.82215,13724.96197,13593.42702,13994.41183
3/26/2010,13641.00754,13760.77981,13201.73728,13745.93728
4/2/2010,13318.82115,13461.09808,11011.63404,13461.02086
4/11/2010,13371.67872,13471.352,11017.41372,13476.15294
5/4/2010,13566.38135,13922.42594,13569.44038,13873.01671
5/13/2010,13645.12563,13868.91481,11069.99259,13804.29855
5/20/2010,13945.61198,14138.90519,13543.56001,14054.33329
5/29/2010,14021.69087,14364.7454,14050.85607,14244.76945
6/5/2010,14103.43023,14328.10161,9724.529631,14237.09955
6/14/2010,14027.48996,14190.62929,13910.47561,14153.12911
6/21/2010,13834.83549,14028.50076,11603.38703,13942.44401
7/7/2010,12973.7023,13260.34199,7956.887712,13175.02474
8/17/2010,11336.00385,11845.08804,11564.59597,11783.55634
9/2/2010,11102.28296,11173.26124,10869.6639,11268.69917
9/18/2010,10721.17174,11048.57967,10722.51703,11114.41557
9/25/2010,10830.26896,11004.06851,10883.02507,11028.89617
10/4/2010,10422.07166,10787.05795,9605.933504,10870.52339
10/11/2010,11086.04368,10765.013,10612.03066,11179.45637
11/5/2010,11213.15708,10880.18548,10457.08008,11338.90575
11/12/2010,11181.61412,10734.70478,10608.37092,11220.17569
11/21/2010,10873.53208,10692.45486,10379.56296,10947.74718
11/28/2010,11062.55965,11015.73072,10915.23894,11087.9752
12/7/2010,11398.32163,10695.25923,10251.08269,11437.39304
12/14/2010,11599.11465,10270.27888,10167.88711,11604.79971
1/8/2011,12154.3013,10726.32406,9985.20677,12172.94481
1/15/2011,12271.85824,10783.35507,10764.30376,12275.19427
1/24/2011,12477.34628,11320.23785,11016.56073,12494.69308
2/16/2011,12799.51953,12073.75884,11978.04793,12832.74482
2/25/2011,12705.41985,12435.96457,12056.23316,12780.65068
3/4/2011,12678.01387,12727.79592,12647.765,12766.74605
3/20/2011,12897.12251,12953.69771,12807.44844,12936.86705
3/29/2011,12624.60103,12704.94035,12224.68062,12712.25147
4/5/2011,12315.60449,12257.58484,11969.3373,12398.3166
4/14/2011,11861.53367,12118.10988,10920.59984,12086.49048
4/21/2011,11605.48078,11810.64895,10861.94271,11762.96438
4/30/2011,11197.15701,11510.25794,10121.83244,11449.91388
5/7/2011,11197.79252,11342.07547,10644.41815,11286.92278
5/23/2011,10784.26389,11151.25399,8993.396971,11102.5623
6/24/2011,9845.369256,10103.58008,6556.99828,9952.186581
7/3/2011,9210.977464,9682.431041,7936.63095,9502.447202
7/10/2011,8722.503172,9195.905918,3920.628818,8952.932401
7/19/2011,8379.755989,8833.432086,8132.153211,8621.126344
7/26/2011,7862.487981,8561.566017,7213.032852,8395.988073
8/4/2011,8085.066764,8767.510703,7812.70791,8337.597993
8/20/2011,7788.412347,8221.862049,7275.446313,8224.060475
8/27/2011,7358.711993,8453.051132,7824.333595,7950.905342
9/21/2011,6674.647279,7489.681834,5000.539407,7281.223874
10/14/2011,7520.300004,7772.022127,7516.664529,7822.284489
10/23/2011,7778.391361,7844.063659,6977.169163,7966.848649
10/30/2011,7849.027877,7880.031989,7653.071903,8000.386132
11/8/2011,7496.003706,7318.851539,7110.762243,7586.445494
11/15/2011,7855.765461,7656.4269,7483.828337,7967.964397
