Elevation,Area (acres),Volume (acre-feet)
1117.05,0,0
1117.06,0,0
1117.07,0,0
1117.08,0,0
1117.09,0,0
1117.1,0.01,0
1117.11,0.03,0
1117.12,0.1,0
1117.13,0.2,0
1117.14,0.26,0
1117.15,0.31,0.01
1117.16,0.36,0.01
1117.17,0.39,0.01
1117.18,0.42,0.02
1117.19,0.45,0.02
1117.2,0.48,0.03
1117.21,0.5,0.03
1117.22,0.52,0.04
1117.23,0.54,0.04
1117.24,0.56,0.05
1117.25,0.58,0.05
1117.26,0.6,0.06
1117.27,0.62,0.07
1117.28,0.63,0.07
1117.29,0.65,0.08
1117.3,0.67,0.09
1117.31,0.68,0.09
1117.32,0.7,0.1
1117.33,0.71,0.11
1117.34,0.73,0.11
1117.35,0.74,0.12
1117.36,0.76,0.13
1117.37,0.77,0.14
1117.38,0.79,0.14
1117.39,0.8,0.15
1117.4,0.82,0.16
1117.41,0.83,0.17
1117.42,0.84,0.18
1117.43,0.85,0.18
1117.44,0.86,0.19
1117.45,0.88,0.2
1117.46,0.89,0.21
1117.47,0.9,0.22
1117.48,0.91,0.23
1117.49,0.92,0.24
1117.5,0.93,0.25
1117.51,0.94,0.26
1117.52,0.96,0.27
1117.53,0.97,0.28
1117.54,0.98,0.29
1117.55,0.99,0.3
1117.56,1,0.31
1117.57,1.01,0.32
1117.58,1.02,0.33
1117.59,1.03,0.34
1117.6,1.04,0.35
1117.61,1.05,0.36
1117.62,1.06,0.37
1117.63,1.07,0.38
1117.64,1.08,0.39
1117.65,1.09,0.4
1117.66,1.1,0.41
1117.67,1.11,0.42
1117.68,1.12,0.43
1117.69,1.12,0.44
1117.7,1.13,0.46
1117.71,1.14,0.47
1117.72,1.15,0.48
1117.73,1.16,0.49
1117.74,1.17,0.5
1117.75,1.18,0.51
1117.76,1.19,0.52
1117.77,1.2,0.54
1117.78,1.21,0.55
1117.79,1.22,0.56
1117.8,1.23,0.57
1117.81,1.23,0.59
1117.82,1.24,0.6
1117.83,1.25,0.61
1117.84,1.26,0.62
1117.85,1.27,0.64
1117.86,1.28,0.65
1117.87,1.28,0.66
1117.88,1.29,0.67
1117.89,1.3,0.69
1117.9,1.31,0.7
1117.91,1.32,0.71
1117.92,1.32,0.73
1117.93,1.33,0.74
1117.94,1.34,0.75
1117.95,1.35,0.77
1117.96,1.35,0.78
1117.97,1.36,0.79
1117.98,1.37,0.81
1117.99,1.38,0.82
1118,1.39,0.83
1118.01,1.39,0.85
1118.02,1.4,0.86
1118.03,1.41,0.88
1118.04,1.41,0.89
1118.05,1.42,0.9
1118.06,1.43,0.92
1118.07,1.44,0.93
1118.08,1.44,0.95
1118.09,1.45,0.96
1118.1,1.46,0.98
1118.11,1.47,0.99
1118.12,1.48,1.01
1118.13,1.48,1.02
1118.14,1.49,1.04
1118.15,1.5,1.05
1118.16,1.51,1.07
1118.17,1.54,1.08
1118.18,1.57,1.1
1118.19,1.61,1.11
1118.2,1.66,1.13
1118.21,1.71,1.15
1118.22,1.77,1.16
1118.23,1.85,1.18
1118.24,1.98,1.2
1118.25,2.12,1.22
1118.26,2.3,1.24
1118.27,2.6,1.27
1118.28,2.98,1.3
1118.29,3.43,1.33
1118.3,3.79,1.36
1118.31,4.12,1.4
1118.32,4.41,1.45
1118.33,4.7,1.49
1118.34,4.96,1.54
1118.35,5.22,1.59
1118.36,5.48,1.64
1118.37,5.74,1.7
1118.38,5.97,1.76
1118.39,6.36,1.82
1118.4,6.68,1.89
1118.41,6.92,1.95
1118.42,7.14,2.02
1118.43,7.34,2.1
1118.44,7.54,2.17
1118.45,7.73,2.25
1118.46,7.92,2.33
1118.47,8.11,2.41
1118.48,8.31,2.49
1118.49,8.51,2.57
1118.5,8.71,2.66
1118.51,8.9,2.75
1118.52,9.09,2.84
1118.53,9.28,2.93
1118.54,9.49,3.02
1118.55,9.69,3.12
1118.56,9.89,3.22
1118.57,10.08,3.31
1118.58,10.28,3.42
1118.59,10.5,3.52
1118.6,10.71,3.63
1118.61,10.92,3.73
1118.62,11.14,3.85
1118.63,11.33,3.96
1118.64,11.5,4.07
1118.65,11.66,4.19
1118.66,11.81,4.31
1118.67,11.98,4.42
1118.68,12.13,4.55
1118.69,12.27,4.67
1118.7,12.41,4.79
1118.71,12.55,4.91
1118.72,12.69,5.04
1118.73,12.83,5.17
1118.74,12.97,5.3
1118.75,13.12,5.43
1118.76,13.29,5.56
1118.77,13.46,5.69
1118.78,13.61,5.83
1118.79,13.78,5.97
1118.8,13.93,6.11
1118.81,14.07,6.25
1118.82,14.2,6.39
1118.83,14.33,6.53
1118.84,14.45,6.67
1118.85,14.57,6.82
1118.86,14.69,6.96
1118.87,14.81,7.11
1118.88,14.93,7.26
1118.89,15.04,7.41
1118.9,15.16,7.56
1118.91,15.27,7.71
1118.92,15.39,7.87
1118.93,15.5,8.02
1118.94,15.62,8.18
1118.95,15.74,8.33
1118.96,15.86,8.49
1118.97,16,8.65
1118.98,16.14,8.81
1118.99,16.28,8.97
1119,16.41,9.14
1119.01,16.54,9.3
1119.02,16.68,9.47
1119.03,16.81,9.64
1119.04,16.95,9.8
1119.05,17.1,9.97
1119.06,17.26,10.15
1119.07,17.42,10.32
1119.08,17.57,10.49
1119.09,17.71,10.67
1119.1,17.85,10.85
1119.11,17.99,11.03
1119.12,18.12,11.21
1119.13,18.25,11.39
1119.14,18.39,11.57
1119.15,18.53,11.76
1119.16,18.66,11.94
1119.17,18.9,12.13
1119.18,19.06,12.32
1119.19,19.21,12.51
1119.2,19.34,12.7
1119.21,19.47,12.9
1119.22,19.6,13.09
1119.23,19.73,13.29
1119.24,19.86,13.49
1119.25,19.99,13.69
1119.26,20.11,13.89
1119.27,20.24,14.09
1119.28,20.36,14.29
1119.29,20.48,14.5
1119.3,20.61,14.7
1119.31,20.73,14.91
1119.32,20.85,15.12
1119.33,20.97,15.33
1119.34,21.09,15.54
1119.35,21.21,15.75
1119.36,21.34,15.96
1119.37,21.47,16.18
1119.38,21.6,16.39
1119.39,21.72,16.61
1119.4,21.85,16.83
1119.41,21.99,17.05
1119.42,22.12,17.27
1119.43,22.25,17.49
1119.44,22.38,17.71
1119.45,22.51,17.93
1119.46,22.63,18.16
1119.47,22.76,18.39
1119.48,22.89,18.61
1119.49,23.02,18.84
1119.5,23.15,19.08
1119.51,23.27,19.31
1119.52,23.39,19.54
1119.53,23.51,19.78
1119.54,23.63,20.01
1119.55,23.75,20.25
1119.56,23.87,20.49
1119.57,23.98,20.72
1119.58,24.1,20.96
1119.59,24.21,21.21
1119.6,24.33,21.45
1119.61,24.44,21.69
1119.62,24.55,21.94
1119.63,24.67,22.19
1119.64,24.78,22.43
1119.65,24.89,22.68
1119.66,25.01,22.93
1119.67,25.12,23.18
1119.68,25.23,23.43
1119.69,25.34,23.68
1119.7,25.45,23.94
1119.71,25.56,24.19
1119.72,25.68,24.45
1119.73,25.79,24.71
1119.74,25.9,24.97
