Date,NDWI,MNDWI,DSWE,AWEInsh,AWEIsh
1/15/2009,13058.30576,13127.99604,12497.63069,12518.84338,12716.91444
1/31/2009,12767.20311,12365.85086,12028.73258,12276.56185,12461.85507
4/5/2009,12391.72564,12728.85435,12103.40801,11880.81174,12022.73454
4/21/2009,12347.1961,12649.62125,12261.95804,12025.20577,12181.64589
6/8/2009,11878.15234,12406.43643,12076.56411,11733.76707,11856.03353
6/24/2009,11739.7772,12506.4401,12001.45937,11648.41736,11773.90709
7/10/2009,11218.28403,12098.32805,11842.49391,11201.7226,11311.86236
9/28/2009,9744.380587,11543.32971,11235.47038,10767.30469,10896.11105
10/30/2009,10018.01066,11298.95767,11079.26031,10927.0007,11103.90805
12/17/2009,11069.8778,10881.34319,10617.15971,10803.86384,10898.33681
4/8/2010,11335.03027,11683.91206,11253.35589,11038.33115,11244.20247
4/24/2010,11349.96831,11983.56293,11434.07597,11177.89682,11398.66256
5/26/2010,11178.75216,11973.32924,10882.6421,11103.74863,11355.48489
6/27/2010,11097.65039,11777.16676,11297.11303,10972.51304,11164.30175
8/14/2010,10183.94653,11318.46052,10851.94047,10580.61987,10764.13002
9/15/2010,9712.129839,11245.40331,10642.32014,10473.25806,10667.31427
10/1/2010,9484.641434,11190.89758,10675.57921,10279.51574,10487.25924
11/18/2010,10074.04912,10287.78499,10023.27622,10110.17874,10328.34783
1/5/2011,10377.1458,10093.7643,9833.327116,9978.600118,10183.68066
1/21/2011,10357.17693,10011.11413,9710.687721,10056.06318,10269.5907
3/10/2011,10317.88767,10511.29613,10158.74852,9933.020572,10134.93894
3/26/2011,10147.58451,10449.56714,10086.43763,9845.583989,10032.33656
4/11/2011,9946.668626,10382.79766,10015.6742,9793.727241,9975.582517
5/13/2011,9788.865754,10127.81688,9795.472854,9406.01829,9541.358484
5/29/2011,9404.969231,12394.96456,9231.411321,9274.146412,9645.518964
6/30/2011,9252.819486,9540.913309,9280.439341,9086.429066,9181.916206
8/1/2011,8785.176575,9080.347992,8888.735577,8681.137491,8763.271626
8/17/2011,8615.075017,8976.187568,8769.90861,8548.268859,8642.641422
10/4/2011,8099.080538,8329.191425,8172.639538,7969.377547,8061.00077
10/20/2011,8347.965717,8897.494547,8525.358656,8314.095666,8492.855124
5/23/2012,7059.537352,7268.970926,7136.059523,6975.625996,7195.286234
6/8/2012,6554.982622,6781.108584,6501.69882,6504.815616,6691.906304
6/24/2012,6330.414636,6485.987504,6407.509368,6297.677503,6425.852211
8/11/2012,5938.477802,6102.730706,6022.748732,5915.321439,6056.575981
8/27/2012,5872.470252,5999.015434,5944.323811,5823.205734,5962.688472
9/12/2012,5593.724733,5696.104586,5570.114519,5528.51058,5661.074619
10/14/2012,5808.277323,5986.551794,5907.069071,5836.534315,5938.246489
10/30/2012,5687.201998,5585.712358,5544.311795,5633.781171,5746.329201
12/1/2012,5598.398605,5698.775376,5635.698732,5539.634472,5668.433234
12/17/2012,5545.205578,5277.014799,5239.79933,5463.297314,5589.023807
1/18/2013,5422.349736,5002.369667,4981.871873,5305.482196,5444.5172
2/3/2013,5350.016135,5360.699242,5049.997692,4574.818021,5366.361124
2/19/2013,5288.365647,5314.628307,5278.070925,5146.80911,5302.093102
3/7/2013,5245.410624,5297.490815,5253.250145,5122.772104,5277.802984
3/30/2013,5887.733063,5849.229311,4043.356449,5437.256355,5897.324297
4/24/2013,4876.620531,4976.329616,4917.784569,4796.049399,4940.270607
6/11/2013,4790.710417,4117.006405,2314.281908,3672.723156,5151.349384
6/27/2013,4549.8952,4707.248593,4634.677596,4515.397623,4650.934434
7/5/2013,5306.393456,5370.49215,5302.73379,5168.157061,5337.967998
7/13/2013,4446.62506,4540.770027,4488.452435,4365.828751,4509.463432
7/21/2013,6367.137913,6574.12327,6329.070548,6330.364058,6457.060246
8/6/2013,6275.441173,6430.568917,6377.265929,6234.02052,6329.436293
8/22/2013,6162.823318,6320.844401,6276.519949,6096.493717,6215.723942
8/30/2013,5102.301355,5243.852633,5190.146416,5104.227622,5186.801835
9/23/2013,6041.525432,6139.676548,6114.307643,5971.171335,6077.933557
10/1/2013,4974.103968,5112.09421,5072.232401,4953.846183,5045.358778
10/17/2013,4963.420848,4813.189485,4832.402516,4931.580091,5025.881293
10/25/2013,5850.564718,5892.629482,5885.563267,5741.03047,5860.656069
11/2/2013,4926.252515,4818.085935,4816.98795,4870.57549,4972.038044
11/26/2013,5722.812447,5723.257571,5618.448703,5585.243749,5723.889484
12/4/2013,4814.747462,4701.907026,4696.022587,4698.119067,4832.992547
1/5/2014,4690.556235,4568.368072,4293.822418,4436.778954,4663.286349
1/13/2014,5571.245726,5536.303029,5474.186472,5388.069544,5547.763816
1/21/2014,4857.034828,4665.628968,4651.061004,4714.586284,4850.975823
1/29/2014,5445.051409,5396.977381,5378.710479,5256.756232,5414.752901
2/14/2014,5445.719105,5441.712934,5430.273099,5283.241459,5434.571654
2/22/2014,4576.380424,4560.800876,4533.418409,4419.466904,4566.522105
3/10/2014,4457.08562,4421.920356,4407.804505,4308.624331,4454.090156
3/18/2014,5288.143131,5277.682578,5245.552933,5111.198769,5273.332525
5/5/2014,4875.95287,4887.303676,4846.114328,4704.799553,4877.280399
5/21/2014,4712.367641,4758.216013,4681.871011,4531.422347,4731.500366
7/24/2014,4437.277372,4551.898311,4477.276215,4358.193494,4475.659781
8/9/2014,4317.314863,4371.398139,4350.801723,4232.944417,4342.663699
8/25/2014,4171.312262,4213.154469,4193.045076,4068.264692,4182.880401
9/10/2014,4068.709825,4136.147,4108.915529,3993.704566,4103.647283
10/12/2014,3953.19862,3990.812093,3979.373132,3865.285467,3970.998577
11/29/2014,3942.07037,3960.543248,3919.995416,3819.073998,3950.20664
12/15/2014,3920.259004,3916.475398,3901.011939,3784.483916,3909.78885
4/6/2015,3567.716133,3601.546003,3565.171914,3472.457463,3580.832626
6/25/2015,5547.43132,5871.93098,5984.055699,5559.203694,5663.575297
7/11/2015,6502.012311,6993.880738,7108.039119,6649.069219,6688.982545
7/27/2015,5796.036356,6523.601081,6928.320097,6039.298939,6138.762772
8/12/2015,5851.232438,6436.578187,6876.233815,5989.645122,6087.79539
10/15/2015,5843.887754,6136.783204,2372.096257,5669.836727,5951.315055
12/2/2015,7664.468836,7903.948664,8388.235081,7621.471035,7765.839731
12/18/2015,7694.292565,7686.94792,7750.298608,7240.634552,7722.622898
1/3/2016,8343.291845,8338.395411,8751.685342,8064.609152,8331.316108
2/4/2016,8426.976282,8335.279535,8662.138333,8070.834012,8366.552963
3/23/2016,8254.043344,8265.394146,8535.205632,7925.425805,8238.764916
5/10/2016,9852.949768,10515.9705,10816.30564,9969.537073,10113.88745
7/13/2016,12842.44142,13266.20497,13686.96596,7209.755001,13027.40507
10/17/2016,13286.45829,13654.13548,13690.22934,13230.38679,13401.4388
