Date,Elev (NGVD29),Elev (NAVD88)
10/1/2013,1423.51,1427.11
10/2/2013,1423.44,1427.04
10/3/2013,1423.34,1426.94
10/4/2013,1423.25,1426.85
10/5/2013,1423.19,1426.79
10/6/2013,1423.17,1426.77
10/7/2013,1423.16,1426.76
10/8/2013,1423.28,1426.88
10/9/2013,1423.3,1426.9
10/10/2013,1423.22,1426.82
10/11/2013,1423.17,1426.77
10/12/2013,1423.13,1426.73
10/13/2013,1423.04,1426.64
10/14/2013,1422.96,1426.56
10/15/2013,1422.9,1426.5
10/16/2013,1422.79,1426.39
10/17/2013,1422.74,1426.34
10/18/2013,1422.69,1426.29
10/19/2013,1422.46,1426.06
10/20/2013,1422.4,1426
10/21/2013,1422.31,1425.91
10/22/2013,1422.24,1425.84
10/23/2013,1422.17,1425.77
10/24/2013,1422.06,1425.66
10/25/2013,1422,1425.6
10/26/2013,1421.94,1425.54
10/27/2013,1421.87,1425.47
10/28/2013,1421.81,1425.41
10/29/2013,1421.76,1425.36
10/30/2013,1421.73,1425.33
10/31/2013,1421.71,1425.31
11/1/2013,1421.91,1425.51
11/2/2013,1422.4,1426
11/3/2013,1422.6,1426.2
11/4/2013,1422.72,1426.32
11/5/2013,1422.8,1426.4
11/6/2013,1422.92,1426.52
11/7/2013,1422.98,1426.58
11/8/2013,1423.13,1426.73
11/9/2013,1423.25,1426.85
11/10/2013,1423.34,1426.94
11/11/2013,1423.45,1427.05
11/12/2013,1423.52,1427.12
11/13/2013,1423.6,1427.2
11/14/2013,1423.57,1427.17
11/15/2013,1423.63,1427.23
11/16/2013,1423.69,1427.29
11/17/2013,1423.76,1427.36
11/18/2013,1423.93,1427.53
11/19/2013,1424.23,1427.83
11/20/2013,1424.38,1427.98
11/21/2013,1424.48,1428.08
11/22/2013,1424.64,1428.24
11/23/2013,1424.35,1427.95
11/24/2013,1424.05,1427.65
11/25/2013,1424.07,1427.67
11/26/2013,1424.09,1427.69
11/27/2013,1424.62,1428.22
11/28/2013,1426.52,1430.12
11/29/2013,1427.26,1430.86
11/30/2013,1427.64,1431.24
12/1/2013,1427.96,1431.56
12/2/2013,1428.21,1431.81
12/3/2013,1428.48,1432.08
12/4/2013,1428.63,1432.23
12/5/2013,1428.82,1432.42
12/6/2013,1429.15,1432.75
12/7/2013,1429.59,1433.19
12/8/2013,1429.89,1433.49
12/9/2013,1430.17,1433.77
12/10/2013,1430.34,1433.94
12/11/2013,1430.45,1434.05
12/12/2013,1430.54,1434.14
12/13/2013,1430.45,1434.05
12/14/2013,1430.33,1433.93
12/15/2013,1430.54,1434.14
12/16/2013,1430.64,1434.24
12/17/2013,1430.69,1434.29
12/18/2013,1430.52,1434.12
12/19/2013,1430.35,1433.95
12/20/2013,1430.13,1433.73
12/21/2013,1430.02,1433.62
12/22/2013,1430.55,1434.15
12/23/2013,1432,1435.6
12/24/2013,1433.4,1437
12/25/2013,1433.86,1437.46
12/26/2013,1434.26,1437.86
12/27/2013,1434.27,1437.87
12/28/2013,1434.29,1437.89
12/29/2013,1434.58,1438.18
12/30/2013,1435.31,1438.91
12/31/2013,1435.64,1439.24
1/1/2014,1435.56,1439.16
1/2/2014,1435.73,1439.33
1/3/2014,1435.53,1439.13
1/4/2014,1435.27,1438.87
1/5/2014,1435.39,1438.99
1/6/2014,1435.73,1439.33
1/7/2014,1437.16,1440.76
1/8/2014,1436.85,1440.45
1/9/2014,1436.47,1440.07
1/10/2014,1435.87,1439.47
1/11/2014,1435.89,1439.49
1/12/2014,1439.04,1442.64
1/13/2014,1439.98,1443.58
