Date,NDWI,MNDWI,AWEIsh
4/17/2014,1386.356349,1392.191811,1384.727735
7/6/2014,1215.956979,1300.130243,1260.449887
7/25/2015,1201.145099,1365.453114,1330.501529
3/21/2016,1372.69289,1373.309079,1371.271125
6/9/2016,969.3662882,1122.95833,1073.894657
6/25/2016,719.0898568,1329.083186,1243.473342
8/28/2016,442.6727445,1225.006164,1180.162399
9/13/2016,1194.665498,1221.537716,1209.467083
10/15/2016,1164.947143,1170.553052,1168.138051
11/16/2016,982.9362201,1025.94191,1024.490467
3/8/2017,1315.563819,1325.362588,1321.861845
4/9/2017,1375.902975,1376.113321,1373.314296
7/30/2017,1287.44785,1334.174215,1314.313962
10/2/2017,1256.513731,1279.378124,1267.17744
10/18/2017,1246.457498,1262.334357,1255.345081
12/21/2017,1320.508132,1343.093203,1336.604918
9/3/2018,519.3044174,1221.96545,1130.500957
10/5/2018,1260.975418,1303.131866,1286.524487
7/4/2019,1140.542145,1283.352691,1237.326311
8/5/2019,559.2891707,1322.40297,1290.082822
10/24/2019,1174.314753,1171.157887,1173.688966
3/16/2020,1355.03904,1358.952621,1359.580151
6/4/2020,403.9470663,1360.583835,1304.568411
7/6/2020,1217.141402,1360.318516,1329.664515
10/10/2020,1141.467421,1263.014258,1231.182002
5/6/2021,1328.838868,1352.229542,1341.227201
6/7/2021,1268.552032,1370.932457,1338.052859
8/26/2021,852.1588842,1325.579016,1270.064592
9/11/2021,1.557922107,1250.555234,1181.182688
