"Elevation, ft NAVD88","Elevation, ft DEP Datum","Depth below spillway, ft","Area, ft2","Volume, gal","Area, acres"
1272.31,1273.1,166.9,390,554,0.008953132
1272.32,1273.11,166.89,408,606,0.009366354
1272.33,1273.12,166.88,426,651,0.009779575
1272.34,1273.13,166.87,444,703,0.010192797
1272.35,1273.14,166.86,462,756,0.010606018
1272.36,1273.15,166.85,480,800,0.01101924
1272.37,1273.16,166.84,498,853,0.011432461
1272.38,1273.17,166.83,516,898,0.011845683
1272.39,1273.18,166.82,534,950,0.012258904
1272.4,1273.19,166.81,552,1000,0.012672126
1272.41,1273.2,166.8,570,1050,0.013085347
1272.42,1273.21,166.79,588,1100,0.013498569
1272.43,1273.22,166.78,606,1150,0.01391179
1272.44,1273.23,166.77,623,1200,0.014302055
1272.45,1273.24,166.76,641,1250,0.014715276
1272.46,1273.25,166.75,659,1300,0.015128498
1272.47,1273.26,166.74,677,1350,0.015541719
1272.48,1273.27,166.73,695,1400,0.015954941
1272.49,1273.28,166.72,713,1440,0.016368162
1272.5,1273.29,166.71,731,1500,0.016781384
1272.51,1273.3,166.7,749,1550,0.017194605
1272.52,1273.31,166.69,767,1590,0.017607827
1272.53,1273.32,166.68,785,1650,0.018021048
1272.54,1273.33,166.67,803,1700,0.01843427
1272.55,1273.34,166.66,821,1740,0.018847491
1272.56,1273.35,166.65,839,1800,0.019260713
1272.57,1273.36,166.64,857,1840,0.019673934
1272.58,1273.37,166.63,875,1890,0.020087156
1272.59,1273.38,166.62,893,1950,0.020500377
1272.6,1273.39,166.61,911,1990,0.020913599
1272.61,1273.4,166.6,928,2040,0.021303863
1272.62,1273.41,166.59,946,2100,0.021717085
1272.63,1273.42,166.58,964,2140,0.022130306
1272.64,1273.43,166.57,987,2220,0.022658312
1272.65,1273.44,166.56,1010,2330,0.023186317
1272.66,1273.45,166.55,1040,2420,0.023875019
1272.67,1273.46,166.54,1070,2530,0.024563722
1272.68,1273.47,166.53,1090,2630,0.025022857
1272.69,1273.48,166.52,1120,2730,0.025711559
1272.7,1273.49,166.51,1140,2830,0.026170694
1272.71,1273.5,166.5,1170,2930,0.026859397
1272.72,1273.51,166.49,1190,3040,0.027318532
1272.73,1273.52,166.48,1220,3130,0.028007234
1272.74,1273.53,166.47,1250,3240,0.028695937
1272.75,1273.54,166.46,1270,3340,0.029155072
1272.76,1273.55,166.45,1300,3440,0.029843774
1272.77,1273.56,166.44,1320,3550,0.030302909
1272.78,1273.57,166.43,1350,3640,0.030991612
1272.79,1273.58,166.42,1380,3750,0.031680314
1272.8,1273.59,166.41,1400,3850,0.032139449
1272.81,1273.6,166.4,1430,3950,0.032828152
1272.82,1273.61,166.39,1450,4050,0.033287287
1272.83,1273.62,166.38,1480,4150,0.033975989
1272.84,1273.63,166.37,1500,4260,0.034435124
1272.85,1273.64,166.36,1530,4350,0.035123826
1272.86,1273.65,166.35,1560,4460,0.035812529
1272.87,1273.66,166.34,1580,4560,0.036271664
1272.88,1273.67,166.33,1610,4660,0.036960366
1272.89,1273.68,166.32,1630,4760,0.037419501
1272.9,1273.69,166.31,1660,4860,0.038108204
1272.91,1273.7,166.3,1690,4970,0.038796906
1272.92,1273.71,166.29,1710,5060,0.039256041
1272.93,1273.72,166.28,1740,5170,0.039944744
1272.94,1273.73,166.27,1760,5270,0.040403879
1272.95,1273.74,166.26,1790,5370,0.041092581
1272.96,1273.75,166.25,1810,5470,0.041551716
1272.97,1273.76,166.24,1850,5630,0.042469986
1272.98,1273.77,166.23,1890,5810,0.043388256
1272.99,1273.78,166.22,1930,5990,0.044306526
1273,1273.79,166.21,1960,6160,0.044995229
